protocol,light_intensity,time_of_testing,ContributorID,AnimalID,TestgroupID,NameOfDrug,Dose,DrugDose,Outc_varname,Outc_value,logOutc_value
localization,NA,NA,Lab 1,AMW110,MK 0.2_F,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,16324.49384,9.700421949
localization,NA,NA,Lab 1,AMW111,MK 0.2_F,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,13478.49505,9.508850735
localization,NA,NA,Lab 1,AMW112,MK 0.2_F,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,14912.39867,9.609948272
localization,NA,NA,Lab 1,AMW68,MK 0.2_F,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,15358.78503,9.639442904
localization,NA,NA,Lab 1,AMW77,MK 0.2_F,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,16151.36564,9.689759885
localization,NA,NA,Lab 1,AMW78,MK 0.2_F,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,18405.76377,9.820419143
localization,NA,NA,Lab 1,AMW80,MK 0.2_F,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,12724.65393,9.451296645
localization,NA,NA,Lab 1,AMW81,MK 0.2_F,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,15400.95585,9.642184855
localization,NA,NA,Lab 1,AMW83,MK 0.2_F,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,13978.59354,9.545282406
localization,NA,NA,Lab 1,AMW84,MK 0.2_F,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,14121.30012,9.555439584
localization,NA,NA,Lab 1,AMW85,MK 0.2_F,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,20469.64607,9.926698388
localization,NA,NA,Lab 1,AMW89,MK 0.2_F,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,17915.0007,9.793393669
localization,NA,NA,Lab 1,AMW93,MK 0.2_F,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,15513.75349,9.649482231
localization,NA,NA,Lab 1,AMW97,MK 0.2_F,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,13276.36738,9.493740845
localization,NA,NA,Lab 1,AMW164,MK 0.2_M,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,15067.082,9.620267643
localization,NA,NA,Lab 1,AMW166,MK 0.2_M,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,16668.926,9.721301547
localization,NA,NA,Lab 1,AMW167,MK 0.2_M,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,12293.156,9.416797964
localization,NA,NA,Lab 1,AMW170,MK 0.2_M,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,7524.687,8.925944494
localization,NA,NA,Lab 1,AMW171,MK 0.2_M,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,10380.65,9.247698775
localization,NA,NA,Lab 1,AMW172,MK 0.2_M,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,14183.121,9.559807875
localization,NA,NA,Lab 1,AMW177,MK 0.2_M,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,15300.368,9.635632159
localization,NA,NA,Lab 1,AMW185,MK 0.2_M,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,14132.201,9.556211231
localization,NA,NA,Lab 1,AMW187,MK 0.2_M,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,15977.416,9.678931504
localization,NA,NA,Lab 1,AMW195,MK 0.2_M,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,8702.236,9.071335283
localization,NA,NA,Lab 1,AMW198,MK 0.2_M,MK-801,0.2,MK-801-0.2mg/kg,Total distance travelled,16953.421,9.738224921
